Rk,Tm,Player,College,Year
1.0,POR,Greg Oden,Ohio State,2007
2.0,SEA,Kevin Durant,Texas,2007
3.0,ATL,Al Horford,Florida,2007
4.0,MEM,Mike Conley,Ohio State,2007
5.0,BOS,Jeff Green,Georgetown,2007
6.0,MIL,Yi Jianlian,,2007
7.0,MIN,Corey Brewer,Florida,2007
8.0,CHA,Brandan Wright,UNC,2007
9.0,CHI,Joakim Noah,Florida,2007
10.0,SAC,Spencer Hawes,Washington,2007
11.0,ATL,Acie Law,Texas A&M,2007
12.0,PHI,Thaddeus Young,Georgia Tech,2007
13.0,NOK,Julian Wright,Kansas,2007
14.0,LAC,Al Thornton,Florida State,2007
15.0,DET,Rodney Stuckey,Eastern Washington,2007
16.0,WAS,Nick Young,USC,2007
17.0,NJN,Sean Williams,Boston College,2007
18.0,GSW,Marco Belinelli,,2007
19.0,LAL,Javaris Crittenton,Georgia Tech,2007
20.0,MIA,Jason Smith,Colorado State,2007
21.0,PHI,Daequan Cook,Ohio State,2007
22.0,CHA,Jared Dudley,Boston College,2007
23.0,NYK,Wilson Chandler,DePaul,2007
24.0,PHO,Rudy Fernández,,2007
25.0,UTA,Morris Almond,Rice University,2007
26.0,HOU,Aaron Brooks,Oregon,2007
27.0,DET,Arron Afflalo,UCLA,2007
28.0,SAS,Tiago Splitter,,2007
29.0,PHO,Alando Tucker,Wisconsin,2007
30.0,PHI,Petteri Koponen,,2007
31.0,SEA,Carl Landry,Purdue,2007
32.0,BOS,Gabe Pruitt,USC,2007
33.0,SAS,Marcus Williams,Arizona,2007
34.0,DAL,Nick Fazekas,Nevada,2007
35.0,SEA,Glen Davis,LSU,2007
36.0,GSW,Jermareo Davidson,Alabama,2007
37.0,POR,Josh McRoberts,Duke,2007
38.0,PHI,Kyrylo Fesenko,,2007
39.0,MIA,Stanko Barać,,2007
40.0,LAL,Sun Yue,,2007
41.0,MIN,Chris Richard,Florida,2007
42.0,POR,Derrick Byars,Vanderbilt,2007
43.0,NOK,Adam Haluska,Iowa,2007
44.0,ORL,Reyshawn Terry,UNC,2007
45.0,LAC,Jared Jordan,Marist College,2007
46.0,GSW,Stéphane Lasme,UMass,2007
47.0,WAS,Dominic McGuire,Fresno State,2007
48.0,LAL,Marc Gasol,,2007
49.0,CHI,Aaron Gray,Pitt,2007
50.0,DAL,Renaldas Seibutis,,2007
51.0,CHI,JamesOn Curry,Oklahoma State,2007
52.0,POR,Taurean Green,Florida,2007
53.0,POR,Demetris Nichols,Syracuse,2007
54.0,HOU,Brad Newley,,2007
55.0,UTA,Herbert Hill,Providence,2007
56.0,MIL,Ramon Sessions,Nevada,2007
57.0,DET,Sammy Mejia,DePaul,2007
58.0,SAS,Georgios Printezis,,2007
59.0,PHO,D.J. Strawberry,Maryland,2007
60.0,DAL,Milovan Raković,,2007
1.0,CHI,Derrick Rose,Memphis,2008
2.0,MIA,Michael Beasley,Kansas State,2008
3.0,MIN,O.J. Mayo,USC,2008
4.0,SEA,Russell Westbrook,UCLA,2008
5.0,MEM,Kevin Love,UCLA,2008
6.0,NYK,Danilo Gallinari,,2008
7.0,LAC,Eric Gordon,Indiana,2008
8.0,MIL,Joe Alexander,West Virginia,2008
9.0,CHA,D.J. Augustin,Texas,2008
10.0,NJN,Brook Lopez,Stanford,2008
11.0,IND,Jerryd Bayless,Arizona,2008
12.0,SAC,Jason Thompson,Rider University,2008
13.0,POR,Brandon Rush,Kansas,2008
14.0,GSW,Anthony Randolph,LSU,2008
15.0,PHO,Robin Lopez,Stanford,2008
16.0,PHI,Marreese Speights,Florida,2008
17.0,TOR,Roy Hibbert,Georgetown,2008
18.0,WAS,JaVale McGee,Nevada,2008
19.0,CLE,J.J. Hickson,NC State,2008
20.0,CHA,Alexis Ajinça,,2008
21.0,NJN,Ryan Anderson,California,2008
22.0,ORL,Courtney Lee,Western Kentucky,2008
23.0,UTA,Kosta Koufos,Ohio State,2008
24.0,SEA,Serge Ibaka,,2008
25.0,HOU,Nicolas Batum,,2008
26.0,SAS,George Hill,IUPUI,2008
27.0,NOH,Darrell Arthur,Kansas,2008
28.0,MEM,Donté Greene,Syracuse,2008
29.0,DET,D.J. White,Indiana,2008
30.0,BOS,J.R. Giddens,New Mexico,2008
31.0,MIN,Nikola Peković,,2008
32.0,SEA,Walter Sharpe,UAB,2008
33.0,POR,Joey Dorsey,Memphis,2008
34.0,MIN,Mario Chalmers,Kansas,2008
35.0,LAC,DeAndre Jordan,Texas A&M,2008
36.0,POR,Ömer Aşık,,2008
37.0,MIL,Luc Mbah a Moute,UCLA,2008
38.0,CHA,Kyle Weaver,Washington State,2008
39.0,CHI,Sonny Weems,Arkansas,2008
40.0,NJN,Chris Douglas-Roberts,Memphis,2008
41.0,IND,Nathan Jawai,,2008
42.0,SAC,Sean Singletary,Virginia,2008
43.0,SAC,Patrick Ewing,Georgetown,2008
44.0,UTA,Ante Tomić,,2008
45.0,SAS,Goran Dragić,,2008
46.0,SEA,Trent Plaisted,BYU,2008
47.0,WAS,Henry Walker,Kansas State,2008
48.0,PHO,Malik Hairston,Oregon,2008
49.0,GSW,Richard Hendrix,Alabama,2008
50.0,SEA,DeVon Hardin,California,2008
51.0,DAL,Shan Foster,Vanderbilt,2008
52.0,MIA,Darnell Jackson,Kansas,2008
53.0,UTA,Tadija Dragićević,,2008
54.0,HOU,Maarty Leunen,Oregon,2008
55.0,POR,Mike Taylor,Iowa State,2008
56.0,SEA,Sasha Kaun,Kansas,2008
57.0,SAS,James Gist,Maryland,2008
58.0,LAL,Joe Crawford,Kentucky,2008
59.0,DET,Deron Washington,Virginia Tech,2008
60.0,BOS,Semih Erden,,2008
1.0,LAC,Blake Griffin,Oklahoma,2009
2.0,MEM,Hasheem Thabeet,UConn,2009
3.0,OKC,James Harden,Arizona State,2009
4.0,SAC,Tyreke Evans,Memphis,2009
5.0,MIN,Ricky Rubio,,2009
