Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
39,Kelly Oubre Jr.,30,PHI,SF,12,12,418,13.7,.606,.450,.255,3.7,12.4,8.0,5.5,1.5,2.2,9.8,18.3,0.5,0.4,0.8,.096,-0.6,-0.3,-0.9,0.1,,oubreke01
40,Grayson Allen,30,PHO,SG,13,13,417,17.8,.638,.659,.197,1.6,9.2,5.4,19.6,2.4,0.9,10.9,21.2,1.0,0.4,1.4,.159,2.9,-0.1,2.8,0.5,,allengr01
41,Mikal Bridges,29,NYK,SF,12,12,417,18.1,.612,.500,.139,3.7,11.0,7.1,19.4,2.8,2.8,6.7,16.1,1.1,0.5,1.6,.186,2.8,2.2,5.0,0.7,,bridgmi01
42,Stephon Castle,21,SAS,PG,13,13,416,17.4,.585,.323,.548,5.8,14.8,10.5,33.7,2.6,1.2,21.3,24.9,0.4,0.7,1.1,.127,-0.2,0.8,0.6,0.3,,castlst01
43,Victor Wembanyama,22,SAS,C,12,12,416,25.6,.609,.262,.380,7.0,34.6,21.5,18.7,1.5,9.9,14.3,30.7,0.7,1.1,1.8,.204,2.7,3.5,6.2,0.9,,wembavi01
44,Royce O'Neale,32,PHO,SF,14,10,413,13.1,.626,.817,.048,4.1,17.0,10.6,14.0,2.0,0.5,14.0,15.1,0.5,0.5,1.0,.117,0.9,0.0,0.9,0.3,,onealro01
45,Myles Turner,29,MIL,C,14,14,412,14.3,.579,.582,.216,4.7,18.7,11.8,8.3,1.9,5.5,11.5,17.4,0.2,0.5,0.7,.086,-0.5,0.5,0.0,0.2,,turnemy01
46,Jaden McDaniels,25,MIN,PF,13,13,412,16.7,.644,.268,.201,4.0,11.6,8.0,10.7,1.4,3.8,11.9,20.9,0.7,0.4,1.1,.125,0.3,0.2,0.6,0.3,,mcdanja02
47,Zach LaVine,30,SAC,SG,12,12,412,16.3,.657,.489,.283,0.5,11.3,5.7,10.3,0.8,0.4,10.4,23.6,0.6,0.0,0.6,.069,2.0,-2.4,-0.4,0.2,,lavinza01
48,Onyeka Okongwu,25,ATL,C,14,5,411,17.7,.633,.411,.344,6.8,21.7,14.5,12.2,1.5,3.4,11.2,20.1,0.7,0.7,1.4,.160,0.3,0.6,0.9,0.3,,okongon01
49,Rudy Gobert,33,MIN,C,13,13,410,15.2,.725,.000,.513,10.5,22.8,17.0,5.5,0.7,5.3,19.1,11.9,0.6,0.6,1.2,.138,-1.2,0.6,-0.6,0.1,,goberru01
50,Nikola Jokić,30,DEN,C,12,12,410,38.3,.769,.281,.375,10.5,30.3,21.1,52.4,2.6,2.1,14.8,27.1,2.9,0.9,3.8,.449,13.4,6.8,20.2,2.3,,jokicni01
51,RJ Barrett,25,TOR,SF,13,13,409,17.2,.598,.376,.290,3.0,14.6,8.9,18.4,1.3,0.9,9.1,23.8,0.6,0.4,1.1,.126,1.5,-0.6,1.0,0.3,,barrerj01
52,Immanuel Quickley,26,TOR,PG,13,13,408,16.4,.589,.513,.263,2.2,12.7,7.6,26.7,1.9,0.0,11.2,20.2,0.7,0.4,1.1,.135,1.6,0.0,1.6,0.4,,quickim01
53,Ivica Zubac,28,LAC,C,13,13,407,20.2,.654,.000,.280,12.4,26.6,19.7,12.0,0.9,3.4,15.3,20.6,0.8,0.3,1.1,.134,0.9,-1.0,-0.1,0.2,,zubaciv01
54,Donovan Mitchell,29,CLE,SG,12,12,407,24.6,.646,.519,.370,2.3,12.9,7.3,27.6,2.1,1.4,12.4,32.0,1.2,0.5,1.6,.192,7.1,0.5,7.6,1.0,,mitchdo01
55,Cade Cunningham,24,DET,PG,11,11,407,20.7,.538,.300,.354,3.1,12.2,7.7,42.4,1.8,2.2,12.5,32.1,0.7,0.6,1.3,.149,3.9,0.3,4.3,0.6,,cunnica01
56,P.J. Washington,27,DAL,PF,13,13,405,12.3,.535,.354,.373,3.9,21.1,12.7,11.7,1.4,3.1,16.4,22.7,-0.5,0.7,0.2,.025,-3.1,0.4,-2.7,-0.1,,washipj01
57,Jake LaRavia,24,LAL,PF,14,6,403,12.3,.573,.413,.330,5.9,12.3,9.3,11.2,2.5,1.0,12.6,15.3,0.3,0.5,0.8,.093,-1.4,0.4,-1.0,0.1,,laravja01
58,Jaren Jackson Jr.,26,MEM,C,14,14,402,14.1,.592,.335,.363,3.4,16.1,9.6,8.1,0.8,4.4,12.1,24.7,0.1,0.4,0.4,.052,-1.7,-0.1,-1.8,0.0,,jacksja02
59,Isaiah Hartenstein,27,OKC,C,14,14,401,21.2,.698,.027,.292,13.5,28.2,21.2,15.6,2.2,2.1,19.0,17.0,1.0,1.1,2.1,.250,1.1,2.3,3.5,0.6,,harteis01
60,Giannis Antetokounmpo,31,MIL,PF,12,12,401,34.8,.663,.076,.542,13.1,24.7,19.0,39.8,1.3,3.4,12.5,36.4,1.9,0.5,2.4,.290,9.3,2.0,11.3,1.3,,antetgi01
61,Jrue Holiday,35,POR,PG,12,12,401,17.0,.565,.512,.151,4.1,13.7,8.6,35.5,2.2,0.7,16.5,20.9,0.6,0.3,0.9,.110,2.7,-0.4,2.3,0.4,,holidjr01
62,Russell Westbrook,37,SAC,SF,14,8,399,15.5,.552,.454,.264,6.5,20.2,13.1,32.9,1.6,0.5,19.8,24.0,0.0,0.2,0.2,.021,1.8,-0.8,0.9,0.3,,westbru01
63,Donte DiVincenzo,29,MIN,SG,13,13,399,14.4,.611,.754,.269,3.5,10.1,7.0,15.2,1.7,1.4,11.3,18.0,0.7,0.3,1.0,.122,1.2,-0.1,1.1,0.3,,divindo01
64,Austin Reaves,27,LAL,SG,11,11,399,24.4,.639,.462,.533,2.2,13.8,8.3,36.1,1.8,0.2,13.2,30.2,1.4,0.4,1.8,.212,5.4,-0.3,5.1,0.7,,reaveau01
65,Davion Mitchell,27,MIA,PG,13,13,398,12.8,.573,.371,.181,1.7,7.5,4.8,30.9,2.2,0.2,16.3,13.9,0.6,0.3,0.9,.108,-1.2,0.9,-0.3,0.2,,mitchda01
66,Herbert Jones,27,NOP,SF,13,13,397,8.8,.531,.513,.165,3.1,10.7,6.5,11.5,2.2,0.8,14.5,15.3,-0.1,0.1,0.0,.000,-3.8,-1.0,-4.8,-0.3,,joneshe01
67,Karl-Anthony Towns,30,NYK,C,12,12,397,21.3,.583,.365,.418,9.5,33.5,20.6,14.7,1.5,2.9,11.8,26.2,0.9,0.6,1.5,.177,1.9,0.3,2.2,0.4,,townska01
68,Ajay Mitchell,23,OKC,SG,14,5,396,18.2,.563,.285,.269,3.1,11.8,7.7,20.4,3.1,1.0,10.7,25.4,0.4,0.9,1.4,.166,-0.1,1.9,1.8,0.4,,mitchaj01
