Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
254,Justin Edwards,22,PHI,SF,10,1,136,24,47,.511,16,34,.471,8,13,.615,.681,3,3,1.000,5,10,15,9,2,2,5,21,67,0,,edwarju01
255,RayJ Dennis,24,IND,PG,11,0,161,22,70,.314,12,37,.324,10,33,.303,.400,8,9,.889,8,11,19,25,3,4,14,16,64,0,,dennira01
256,Kris Murray,25,POR,SF,12,0,273,27,56,.482,6,19,.316,21,37,.568,.536,4,6,.667,15,23,38,13,13,2,7,22,64,0,,murrakr01
257,Jarred Vanderbilt,26,LAL,PF,14,2,257,22,50,.440,4,14,.286,18,36,.500,.480,16,19,.842,19,59,78,21,14,5,22,27,64,0,,vandeja01
258,Bennedict Mathurin,23,IND,SF,2,2,73,17,31,.548,5,10,.500,12,21,.571,.629,23,26,.885,3,11,14,5,0,0,5,6,62,0,,mathube01
259,Luke Kornet,30,SAS,C,6,1,138,25,31,.806,0,0,,25,31,.806,.806,11,16,.688,19,20,39,11,0,7,4,12,61,0,,kornelu01
260,Keaton Wallace,26,ATL,PG,13,2,209,23,54,.426,13,31,.419,10,23,.435,.546,2,4,.500,1,24,25,39,11,2,11,19,61,0,,wallake01
261,Tyrese Proctor,21,CLE,PG,12,0,142,21,62,.339,12,41,.293,9,21,.429,.435,6,7,.857,2,10,12,14,4,0,6,20,60,0,,proctty01
262,Oso Ighodaro,23,PHO,PF,14,4,220,26,50,.520,0,0,,26,50,.520,.520,7,14,.500,6,39,45,17,6,10,18,35,59,0,,ighodos01
263,Quenton Jackson,27,IND,PG,5,3,101,20,37,.541,6,12,.500,14,25,.560,.622,13,18,.722,5,12,17,18,5,1,6,10,59,0,,jacksqu01
264,Alex Caruso,31,OKC,SG,10,0,183,20,52,.385,13,35,.371,7,17,.412,.510,5,6,.833,2,19,21,24,19,3,9,7,58,0,,carusal01
265,Nick Richards,28,PHO,C,14,1,145,20,36,.556,0,0,,20,36,.556,.556,18,25,.720,18,31,49,5,2,7,13,21,58,0,,richani01
266,Jaxson Hayes,25,LAL,C,11,1,185,24,35,.686,1,1,1.000,23,34,.676,.700,7,11,.636,13,33,46,13,4,5,6,17,56,0,,hayesja02
267,Jaylen Clark,24,MIN,SG,11,0,178,19,41,.463,7,18,.389,12,23,.522,.549,10,16,.625,11,12,23,9,9,1,5,25,55,0,,clarkja02
268,Isaiah Collier,21,UTA,PG,5,1,131,18,30,.600,2,5,.400,16,25,.640,.633,17,24,.708,0,18,18,37,2,2,12,16,55,0,,colliis01
269,Jaden Hardy,23,DAL,SG,11,0,117,18,45,.400,11,28,.393,7,17,.412,.522,7,9,.778,2,11,13,4,4,1,9,12,54,0,,hardyja02
270,Al Horford,39,GSW,C,10,0,216,20,59,.339,14,43,.326,6,16,.375,.458,0,0,,10,29,39,18,8,10,13,16,54,0,,horfoal01
271,Luguentz Dort,26,OKC,SF,8,8,245,18,58,.310,8,38,.211,10,20,.500,.379,9,10,.900,14,25,39,12,7,1,6,21,53,0,,dortlu01
272,Rob Dillingham,21,MIN,PG,11,0,123,20,49,.408,3,10,.300,17,39,.436,.439,8,11,.727,2,10,12,24,7,0,14,12,51,0,,dilliro01
273,Bradley Beal,32,LAC,SG,6,6,121,18,48,.375,7,19,.368,11,29,.379,.448,6,8,.750,2,3,5,10,3,0,9,14,49,0,,bealbr01
274,Karlo Matković,24,NOP,PF,11,0,115,22,32,.688,2,6,.333,20,26,.769,.719,3,8,.375,7,20,27,8,2,5,4,11,49,0,,matkoka01
275,Taurean Prince,31,MIL,SF,8,0,169,17,38,.447,12,28,.429,5,10,.500,.605,3,3,1.000,0,13,13,8,6,2,5,20,49,0,,princta02
276,Nicolas Batum,37,LAC,PF,13,2,230,16,50,.320,14,45,.311,2,5,.400,.460,2,2,1.000,6,29,35,10,11,8,7,25,48,0,,batumni01
277,Bilal Coulibaly,21,WAS,SG,5,5,123,16,44,.364,5,17,.294,11,27,.407,.420,11,15,.733,4,18,22,17,6,6,10,11,48,0,,coulibi01
278,Jordan Hawkins,23,NOP,SG,12,0,168,17,59,.288,9,35,.257,8,24,.333,.364,5,7,.714,6,17,23,8,2,0,4,7,48,0,,hawkijo01
279,Nique Clifford,23,SAC,SG,10,2,192,17,51,.333,6,23,.261,11,28,.393,.392,7,10,.700,7,23,30,22,4,4,7,23,47,0,,cliffni01
280,Bones Hyland,25,MIN,PG,11,0,101,18,35,.514,8,22,.364,10,13,.769,.629,3,4,.750,1,9,10,15,5,0,8,13,47,0,,hylanbo01
281,Yves Missi,21,NOP,C,8,4,153,19,30,.633,0,0,,19,30,.633,.633,9,18,.500,24,17,41,10,2,8,9,13,47,0,,missiyv01
282,Asa Newell,20,ATL,PF,8,0,80,16,32,.500,8,16,.500,8,16,.500,.625,7,9,.778,9,8,17,1,4,3,4,11,47,0,,newelas01
283,Jeremy Sochan,22,SAS,PF,7,0,109,17,27,.630,5,10,.500,12,17,.706,.722,7,9,.778,4,15,19,11,3,2,8,20,46,0,,sochaje01
284,Jordan Walsh,21,BOS,PF,10,2,173,18,39,.462,7,17,.412,11,22,.500,.551,3,4,.750,13,31,44,10,10,6,2,22,46,0,,walshjo01
285,Jeremiah Robinson-Earl,25,IND,PF,8,3,167,17,45,.378,3,15,.200,14,30,.467,.411,8,9,.889,22,29,51,7,5,0,6,9,45,0,,robinje02
286,Cam Christie,20,LAC,SG,8,0,92,13,30,.433,7,16,.438,6,14,.429,.550,11,15,.733,3,12,15,8,2,1,1,3,44,0,,chrisca02
