Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
59,Andrew Nembhard,26,IND,PG,6,6,28.0,5.5,13.8,.398,2.0,6.2,.324,3.5,7.7,.457,.470,5.0,5.2,.968,0.2,1.7,1.8,6.5,0.3,0.2,2.0,2.5,18.0,,nembhan01
60,Jaren Jackson Jr.,26,MEM,C,14,14,28.7,6.2,13.0,.478,1.6,4.4,.377,4.6,8.6,.529,.541,3.8,4.7,.803,0.9,4.3,5.2,1.4,0.5,1.4,2.1,4.3,17.9,,jacksja02
61,Ja Morant,26,MEM,PG,12,12,28.8,5.8,16.3,.359,0.8,5.0,.167,5.0,11.3,.444,.385,5.4,5.8,.942,0.5,3.0,3.5,7.6,1.0,0.1,3.8,2.3,17.9,,moranja01
62,Nickeil Alexander-Walker,27,ATL,SG,12,9,30.4,5.9,13.4,.441,1.9,5.9,.324,4.0,7.5,.533,.512,4.1,4.8,.845,0.7,2.2,2.8,3.5,1.1,0.9,2.6,1.7,17.8,,alexani01
63,Trae Young,27,ATL,PG,5,5,27.8,5.2,14.0,.371,1.0,5.2,.192,4.2,8.8,.477,.407,6.4,7.8,.821,0.0,2.0,2.0,7.8,0.8,0.2,2.0,1.8,17.8,,youngtr01
64,Jaden McDaniels,25,MIN,PF,13,13,31.7,6.9,12.6,.549,1.7,3.4,.500,5.2,9.2,.567,.616,2.2,2.5,.848,1.1,3.5,4.5,2.3,0.9,1.3,1.8,3.7,17.7,,mcdanja02
65,Jaime Jaquez Jr.,24,MIA,SF,13,0,30.2,6.9,13.0,.533,0.4,1.9,.200,6.5,11.1,.590,.547,3.2,4.2,.778,1.3,6.0,7.3,5.2,0.7,0.3,1.7,2.2,17.5,,jaqueja01
66,Andrew Wiggins,30,MIA,SF,13,13,32.9,6.9,13.6,.508,1.9,5.1,.379,5.0,8.5,.586,.579,1.8,2.7,.657,1.6,3.3,4.9,2.8,1.2,0.9,2.2,2.6,17.5,,wiggian01
67,Stephon Castle,21,SAS,PG,13,13,32.0,5.9,11.9,.497,0.9,3.8,.240,5.0,8.1,.619,.535,4.5,6.5,.694,1.5,4.3,5.8,7.5,1.7,0.4,4.0,3.6,17.3,,castlst01
68,Jordan Poole,26,NOP,PG,7,4,30.3,5.0,14.1,.354,2.9,8.4,.339,2.1,5.7,.375,.455,4.4,4.6,.969,0.4,1.3,1.7,3.4,0.3,0.3,2.1,2.6,17.3,,poolejo01
69,Kristaps Porziņģis,30,ATL,C,9,9,25.8,5.4,12.7,.430,1.6,5.0,.311,3.9,7.7,.507,.491,4.9,5.7,.863,1.9,3.8,5.7,3.7,0.6,1.6,1.1,3.0,17.3,,porzikr01
70,Amen Thompson,23,HOU,SF,12,12,35.5,6.7,14.2,.471,0.5,2.4,.207,6.2,11.8,.525,.488,3.4,4.5,.759,2.3,3.8,6.1,5.2,1.3,0.5,2.3,2.3,17.3,,thompam01
71,Kon Knueppel,20,CHO,SF,13,12,32.6,5.9,13.0,.456,3.2,7.8,.402,2.8,5.2,.537,.577,2.2,2.5,.875,0.6,5.3,5.9,2.8,0.7,0.2,2.5,2.3,17.2,,knuepko01
72,Domantas Sabonis,29,SAC,C,11,11,33.2,6.7,13.2,.510,0.4,1.8,.200,6.4,11.4,.560,.524,3.4,4.6,.725,3.4,8.9,12.3,3.7,1.2,0.2,2.5,4.0,17.2,,sabondo01
73,Kyshawn George,22,WAS,SF,12,12,31.0,6.2,12.2,.507,2.6,5.8,.449,3.6,6.4,.558,.613,2.0,2.8,.706,0.6,5.5,6.1,4.6,0.9,0.9,3.3,4.8,16.9,,georgky01
74,Ryan Rollins,23,MIL,PG,14,13,31.1,6.5,12.4,.526,2.3,5.0,.457,4.2,7.4,.573,.618,1.6,2.1,.767,0.8,3.0,3.8,5.4,1.7,0.2,2.4,3.0,16.9,,rolliry01
75,Kelly Oubre Jr.,30,PHI,SF,12,12,34.8,6.2,12.4,.497,1.9,5.6,.343,4.3,6.8,.622,.574,2.5,3.2,.789,1.2,3.9,5.1,1.3,1.1,0.8,1.5,2.7,16.8,,oubreke01
76,Jrue Holiday,35,POR,PG,12,12,33.4,6.2,13.8,.446,2.6,7.1,.365,3.6,6.8,.531,.539,1.8,2.1,.840,1.3,3.9,5.3,8.3,1.6,0.3,2.9,2.0,16.7,,holidjr01
77,Ajay Mitchell,23,OKC,SG,14,5,28.3,6.1,13.3,.457,1.3,3.8,.340,4.8,9.5,.504,.505,3.3,3.6,.920,0.8,3.2,4.0,3.9,1.8,0.3,1.8,2.4,16.7,,mitchaj01
78,Quentin Grimes,25,PHI,SG,12,0,30.9,5.3,11.3,.467,2.4,6.2,.392,2.8,5.1,.557,.574,3.7,4.4,.830,0.4,3.6,4.0,4.4,0.9,0.5,3.2,2.5,16.6,,grimequ01
79,Desmond Bane,27,ORL,SG,14,14,32.5,6.1,13.9,.436,1.5,4.8,.313,4.6,9.1,.500,.490,2.9,3.1,.909,1.1,3.2,4.3,4.4,0.4,0.4,2.4,3.4,16.5,,banede01
80,Nikola Vučević,35,CHI,C,12,12,31.7,6.5,12.8,.506,1.9,4.4,.434,4.6,8.4,.545,.581,1.6,2.1,.760,2.1,8.0,10.1,3.5,0.7,0.5,1.8,2.4,16.5,,vucevni01
81,Payton Pritchard,28,BOS,PG,14,14,31.9,5.9,13.3,.446,2.5,7.8,.321,3.4,5.5,.623,.540,2.0,2.5,.800,0.9,3.0,3.9,5.0,0.8,0.0,1.3,2.0,16.4,,pritcpa01
82,CJ McCollum,34,WAS,SG,13,13,29.5,5.5,13.8,.394,2.6,6.9,.378,2.8,6.9,.411,.489,2.8,3.4,.818,0.7,2.5,3.2,3.3,0.8,0.2,1.5,2.3,16.3,,mccolcj01
83,Deandre Ayton,27,LAL,C,13,13,30.4,7.6,11.0,.692,0.0,0.0,,7.6,11.0,.692,.692,1.0,1.6,.619,2.8,5.5,8.4,0.9,0.7,0.9,2.7,3.2,16.2,,aytonde01
84,Ivica Zubac,28,LAC,C,13,13,31.3,6.9,11.0,.629,0.0,0.0,,6.9,11.0,.629,.629,2.3,3.1,.750,3.2,7.4,10.6,2.2,0.5,1.1,2.2,2.7,16.2,,zubaciv01
85,Derrick White,31,BOS,SG,14,14,32.9,5.5,15.4,.356,2.6,8.6,.306,2.9,6.8,.421,.442,2.4,2.9,.825,0.9,3.0,3.9,5.4,1.7,1.2,1.2,1.7,16.0,,whitede01
